"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NEBL",18.6539038259881,2.66052082018683,0.605726005852542,4.39228429105041,1.12165896317347e-05,0.00145452310900537
"DAAM2",48.5070459293989,-1.85380555934185,0.422836245739038,-4.38421629655175,1.16404073012821e-05,0.00149892629402663
"CCSER2",1046.13032838883,-0.442991253612066,0.101150580183686,-4.37952261675225,1.18939577533526e-05,0.00151543945444566
"RAB22A",614.554984557481,-0.346887686628613,0.0792197345745764,-4.37880394943835,1.19332421469871e-05,0.00151543945444566
"KIAA0391",377.819231319089,0.409733326667201,0.0937149066299034,4.37212543235315,1.23042796949347e-05,0.00153088517771978
"SH3TC1",413.235344766848,0.53287598780421,0.121866479180204,4.37262150665932,1.22763451257695e-05,0.00153088517771978
"C9orf135",3.1279150622738,-5.78473938569613,1.32286157292217,-4.37289849830452,1.22607737193805e-05,0.00153088517771978
"TSPEAR",8.83818272441363,-1.63424957653471,0.375711630786661,-4.34974443860824,1.36296279911809e-05,0.00168440248207788
"SLC39A3",139.295879966603,0.594934289697464,0.137284790024687,4.33357759144682,1.46705540906703e-05,0.00180095722017069
"LOC101928100",99.3231952660421,-1.17651305059989,0.271704598526156,-4.33011828648394,1.49029267727602e-05,0.00181736750724243
"SYNGR1",76.4034010468854,0.895565274503902,0.207238443336448,4.32142444271291,1.55025138411189e-05,0.00187804795967344
"IVNS1ABP",2455.28819535184,-0.370960911527845,0.0862904417234692,-4.29898032874424,1.71585699298742e-05,0.00201245737334279
"CCDC85B",134.072836952,0.629957504210005,0.146541933338745,4.29882075292267,1.71709267752944e-05,0.00201245737334279
"OAS3",1359.19564787011,2.29063371901336,0.532495472449998,4.30169614114129,1.69495642876678e-05,0.00201245737334279
"MMP25",2292.1112851835,-1.23664868325062,0.2877550500705,-4.2975742144148,1.72677454647638e-05,0.00201245737334279
"ZNF595",103.092071211594,-0.963132199075068,0.223853120055132,-4.3025185391111,1.68867536114287e-05,0.00201245737334279
"PAM",384.635989820163,-0.874895812579182,0.203404164016674,-4.3012679549051,1.69823551007606e-05,0.00201245737334279
"SYNE3",457.286788957372,0.428543405611388,0.10005637955438,4.2830193089135,1.84374164493537e-05,0.0021352615503044
"DDX60",1135.91637914716,1.31692819941731,0.307728974010546,4.2795066784065,1.87308017877038e-05,0.00215568115074236
"KLRK1",9.52917974431861,-1.77598501213548,0.415146869532719,-4.27796797344153,1.88607148521075e-05,0.00215715033097333
"ZNF215",5.5629306314492,2.26123488273105,0.52970481510461,4.26885846277324,1.96475884477027e-05,0.00223327588688888
"LRRN3",284.088162806466,-1.30022297773451,0.304692612044391,-4.26732689385024,1.97829170595605e-05,0.00223486278978372
"TAS2R31",58.6993317632565,-0.725128710049668,0.170063463146145,-4.26387124332829,2.00915247246227e-05,0.00225588619682441
"PPFIBP2",209.067755935874,-0.48400163490175,0.113802965264341,-4.25297911858021,2.10945253577923e-05,0.0023399674092674
"NGFRAP1",107.332286670492,1.20581880620652,0.283440988699642,4.2542146488358,2.09783991842804e-05,0.0023399674092674
"CCNT1",901.932859855514,-0.233622161246865,0.055025353405471,-4.24571850589217,2.17894047015964e-05,0.00238827439389998
"ITIH4",109.573543407161,0.615854856431779,0.145040676774376,4.24608372029177,2.17539374256438e-05,0.00238827439389998
"CTXN2",50.8191216476384,-3.7071601389541,0.874002956532396,-4.24158764137623,2.21944189730714e-05,0.00240474210221753
"MYOM2",30.2228551023187,-2.35927023989148,0.556231890262512,-4.24152279147107,2.22008340054839e-05,0.00240474210221753
"C11orf31",250.349136778023,0.596978566295168,0.140836173831081,4.23881556886929,2.24702159636357e-05,0.00240561951601388
"ENC1",172.68668622431,0.933649220629431,0.220244731281827,4.23914440629558,2.24373298063234e-05,0.00240561951601388
"ATG9B",19.8562195796176,-0.86406607027254,0.203953574878861,-4.23658212799533,2.26947933501908e-05,0.00241561806214112
"IRF4",320.228603656086,0.452779543879511,0.107016929792362,4.2309150968731,2.32742515710216e-05,0.00246305786453329
"TIMM10",40.1018326851109,0.974068322617278,0.230390768719338,4.22789649095657,2.35886257848239e-05,0.00248206260115284
"EPHB2",28.1851513590709,1.2165826372966,0.288359562611651,4.21897795335136,2.45412266623154e-05,0.00253877611101054
"IL2RA",101.40249378418,0.642646124073783,0.152251512164169,4.22095068179576,2.43274161659561e-05,0.00253877611101054
"HIGD2A",260.525886235037,0.503585979311083,0.119348239415606,4.21946718088942,2.44880365642348e-05,0.00253877611101054
"MZB1",56.568959405265,1.50910496218098,0.358840312524816,4.20550565114286,2.60499079231852e-05,0.00267979332121526
"HOXA2",37.8974936772592,1.05619321752782,0.252029635029533,4.1907500973211,2.78033757674811e-05,0.00284428534101331
"TAS2R20",65.7936824618259,-0.733049688944051,0.17533065955925,-4.18095552019713,2.90286650615085e-05,0.0029532256267548
"LRRC37A8P",36.0726534218631,-0.950925004779745,0.227529140502155,-4.17935479684518,2.92337302685102e-05,0.00295774675365026
"LPCAT1",1064.71112375776,-0.546560165225336,0.131065084805282,-4.17014314710387,3.04408371383588e-05,0.00306304685828272
"FAT4",40.9249596893959,-1.28005326660334,0.307269544853834,-4.16589697235453,3.10130748097741e-05,0.00308689059214692
"CSMD1",18.4644947383618,-2.42160275003385,0.58126607675538,-4.16608305021207,3.09877852225732e-05,0.00308689059214692
"CLEC2L",6.95120297459821,3.09868288455608,0.744333334156667,4.16303118826043,3.14050451807538e-05,0.00310909947289462
"PTPN4",2354.59362406638,-0.458365161723835,0.110183479779168,-4.16001711547409,3.18223746476201e-05,0.00313356795059506
"AQP10",31.4271513801324,1.99672007102673,0.48047874712425,4.1556886396692,3.24309234537809e-05,0.00315969854221123
"KRT73",28.6053575434041,-1.1456847289396,0.275620131260506,-4.15675271505022,3.22803063245413e-05,0.00315969854221123
"FAM57A",39.4636238258485,-0.686442060213209,0.165257050687959,-4.15378380139049,3.27022172207339e-05,0.00316539905816718
"NAPSB",341.411258699223,0.832749334182826,0.200556052764307,4.15220245265532,3.2929074944721e-05,0.00316539905816718
"PCDHGA11",16.4122869524669,-1.18878437244694,0.286338525931363,-4.15167455577352,3.30051384364124e-05,0.00316539905816718
"STX2",206.236706132413,0.602605783516465,0.145256899063248,4.14855189256158,3.34585009886086e-05,0.00319107277034117
"SIGLEC1",86.4592225224846,2.57637713950947,0.621194997954177,4.14745313145538,3.36194263846089e-05,0.00319107277034117
"RETSAT",176.015494421207,0.542562500759862,0.130899497450173,4.1448784092268,3.39994069226682e-05,0.0032105901490975
"GCSHP3",18.5666042282888,-0.822790592756956,0.199044778970442,-4.13369593019639,3.5697569841304e-05,0.00335151595569935
"RNF150",4.21918380580323,-4.30777262458166,1.04236784833661,-4.1326798706003,3.58557968541747e-05,0.00335151595569935
"LY6E",1199.46980488062,2.03182043575689,0.492293347242672,4.12725552180847,3.67118394688092e-05,0.00341420107059926
"CAPG",618.022213091874,0.7486839643514,0.181796038426291,4.1182633616901,3.81738290199816e-05,0.00353232606821076
"TNFRSF4",48.2234130122478,1.07641727175204,0.261484836952983,4.11655713690806,3.84574023530053e-05,0.0035407730346412
"CRIP1",518.466565328345,0.580937926996894,0.141254585776462,4.11270135977207,3.91056123583236e-05,0.00358254102470732
"GUCY1B2",12.1409351910914,1.80906865989422,0.44073299152982,4.10468173397866,4.04871887113593e-05,0.00363729176410355
"RNASE2",107.21770498541,1.36721094716622,0.332928484571806,4.10662052219609,4.0149001627907e-05,0.00363729176410355
"VAMP5",62.1841920972052,0.768214504865572,0.187157288692653,4.10464647266354,4.04933643771711e-05,0.00363729176410355
"KLHL15",258.654606893534,-0.310980868954089,0.0757426342223769,-4.1057572415697,4.02992531442725e-05,0.00363729176410355
"LOC101927156",73.427911732994,-0.859825441285715,0.210116232987935,-4.09214190193047,4.27406961223825e-05,0.00380681507461044
"SRA1",314.491221796994,0.360970832366654,0.0882169738162102,4.09185235846669,4.27941088543695e-05,0.00380681507461044
"ZNF280B",27.2273601860916,-0.758837398794407,0.185641463759194,-4.08765037415746,4.357642154756e-05,0.00385734026818822
"CCDC171",32.9954145837543,-0.671752032008106,0.164400832164763,-4.08606223680715,4.38756135381694e-05,0.00385734026818822
"ERCC6L2",929.393884382512,-0.327655941926624,0.080200599404471,-4.08545502601764,4.39905211425831e-05,0.00385734026818822
"GNPNAT1",213.941342370083,-0.463065099399993,0.113395590316695,-4.08362528125412,4.43385076626019e-05,0.00386942786776849
"ITGB1",1959.36251246759,0.584106468768692,0.143340360516019,4.07496162745744,4.60219350853027e-05,0.0039600369750503
"KIAA0895L",29.8303852772531,0.688072949873163,0.168809028698865,4.07604353378873,4.58084463795093e-05,0.0039600369750503
"CNOT6L",1899.27522167761,-0.473882894575617,0.116233848782834,-4.07697843216909,4.5624722966372e-05,0.0039600369750503
"MB21D2",49.2036401863666,0.632218703136695,0.155296094428352,4.07105346379703,4.68010055559267e-05,0.00400834286654341
"RBFOX2",10.3471649400062,-1.46668610397505,0.360556919587062,-4.06783513031677,4.74519349314171e-05,0.00402663562132311
"CARD6",260.807964980492,0.562921688387798,0.138362750696147,4.06844823159095,4.73272729488875e-05,0.00402663562132311
"AGRN",55.2458583791342,1.71741138179633,0.422743675187542,4.0625359587803,4.85424671279727e-05,0.00410027976924078
"AP1S1",54.534206766733,0.545527192923502,0.134522821675103,4.05527616898381,5.00751037979393e-05,0.00421042448098289
"IGFBP2",7.2848972856133,2.34917395581641,0.58056297194141,4.04637234779328,5.2017469708698e-05,0.00435386221461802
"EXT2",327.209108424782,0.348690301155688,0.0862866578650437,4.04106857054372,5.32081961777893e-05,0.00443337431863263
"GSTK1",1200.24701488039,0.320961600903024,0.0795913327213422,4.03262000935133,5.51584307541816e-05,0.00457516821579955
"NECAP2",1015.31794724521,0.316053120591775,0.0784064320434429,4.03095909805791,5.55497109355686e-05,0.00458696133258996
"KLRC3",69.8258703638516,-0.888409305168553,0.220559301001466,-4.02798386254701,5.62572039946714e-05,0.00462464354624053
"SLC26A5",8.19065082551436,-2.12077193228686,0.526904761253418,-4.02496255156604,5.69843829365336e-05,0.00466360189952591
"MYL9",42.8672079176652,2.03998337453891,0.507039640752127,4.02332127624748,5.7383133238727e-05,0.00467545582061026
"GNB5",240.597707201754,0.528705764866113,0.131459605791728,4.02181157992932,5.77522484531863e-05,0.00468480133487653
"CCNJ",152.440957035524,-0.387592612516463,0.0965446157370091,-4.01464762749979,5.95346712932334e-05,0.00480820805786667
"MYEF2",83.9757488830026,-0.656602160406486,0.163951026063376,-4.00486764963991,6.20522134147837e-05,0.00498964828742283
"TMEM98",1.28720514285695,-3.77856758421343,0.945722081575778,-3.99543127714383,6.4576588030709e-05,0.00517005779129337
"CLEC10A",111.253275080793,0.826378056541694,0.20695481009597,3.99303623896678,6.52325942657158e-05,0.00519012021239804
